Date time,EVENT
2024-09-08 오전 12:28:46,EV_Fiber13번,Connecting
2024-09-08 오전 12:28:46,TRY,Reconnection
2024-09-08 오전 12:28:46,EV_Vibe13번,Opened
2024-09-08 오전 12:28:58,EV_Fiber13번,Connecting
2024-09-08 오전 12:28:58,TRY,Reconnection
2024-09-08 오전 12:28:58,EV_Vibe13번,Opened
2024-09-08 오전 12:29:10,EV_Fiber13번,Connecting
2024-09-08 오전 12:29:10,TRY,Reconnection
2024-09-08 오전 12:29:10,EV_Vibe13번,Opened
2024-09-08 오전 12:29:22,EV_Fiber13번,Connecting
2024-09-08 오전 12:29:22,TRY,Reconnection
2024-09-08 오전 12:29:22,EV_Vibe13번,Opened
2024-09-08 오전 12:29:34,EV_Fiber13번,Connecting
2024-09-08 오전 12:29:34,TRY,Reconnection
2024-09-08 오전 12:29:34,EV_Vibe13번,Opened
2024-09-08 오전 12:29:46,EV_Fiber13번,Connecting
2024-09-08 오전 12:29:46,TRY,Reconnection
2024-09-08 오전 12:29:46,EV_Vibe13번,Opened
2024-09-08 오전 12:29:58,EV_Fiber13번,Connecting
2024-09-08 오전 12:29:58,TRY,Reconnection
2024-09-08 오전 12:29:58,EV_Vibe13번,Opened
2024-09-08 오전 12:30:24,EV_Fiber13번,Connecting
2024-09-08 오전 12:30:24,TRY,Reconnection
2024-09-08 오전 12:30:24,EV_Vibe13번,Opened
2024-09-08 오전 12:30:36,EV_Fiber13번,Connecting
2024-09-08 오전 12:30:36,TRY,Reconnection
2024-09-08 오전 12:30:36,EV_Vibe13번,Opened
2024-09-08 오전 12:30:48,EV_Fiber13번,Connecting
2024-09-08 오전 12:30:48,TRY,Reconnection
2024-09-08 오전 12:30:48,EV_Vibe13번,Opened
2024-09-08 오전 12:31:00,EV_Fiber13번,Connecting
2024-09-08 오전 12:31:00,TRY,Reconnection
2024-09-08 오전 12:31:00,EV_Vibe13번,Opened
2024-09-08 오전 12:31:12,EV_Fiber13번,Connecting
2024-09-08 오전 12:31:12,TRY,Reconnection
2024-09-08 오전 12:31:12,EV_Vibe13번,Opened
2024-09-08 오전 12:31:24,EV_Fiber13번,Connecting
2024-09-08 오전 12:31:24,TRY,Reconnection
2024-09-08 오전 12:31:24,EV_Vibe13번,Opened
2024-09-08 오전 12:31:36,EV_Fiber13번,Connecting
2024-09-08 오전 12:31:36,TRY,Reconnection
2024-09-08 오전 12:31:36,EV_Vibe13번,Opened
2024-09-08 오전 12:31:48,EV_Fiber13번,Connecting
2024-09-08 오전 12:31:48,TRY,Reconnection
2024-09-08 오전 12:31:48,EV_Vibe13번,Opened
2024-09-08 오전 12:32:00,EV_Fiber13번,Connecting
2024-09-08 오전 12:32:00,TRY,Reconnection
2024-09-08 오전 12:32:00,EV_Vibe13번,Opened
2024-09-08 오전 12:32:12,EV_Fiber13번,Connecting
2024-09-08 오전 12:32:12,TRY,Reconnection
2024-09-08 오전 12:32:12,EV_Vibe13번,Opened
2024-09-08 오전 12:32:24,EV_Fiber13번,Connecting
2024-09-08 오전 12:32:24,TRY,Reconnection
2024-09-08 오전 12:32:24,EV_Vibe13번,Opened
2024-09-08 오전 12:32:36,EV_Fiber13번,Connecting
2024-09-08 오전 12:32:36,TRY,Reconnection
2024-09-08 오전 12:32:36,EV_Vibe13번,Opened
2024-09-08 오전 12:32:48,EV_Fiber13번,Connecting
2024-09-08 오전 12:32:48,TRY,Reconnection
2024-09-08 오전 12:32:48,EV_Vibe13번,Opened
2024-09-08 오전 12:33:00,EV_Fiber13번,Connecting
2024-09-08 오전 12:33:00,TRY,Reconnection
2024-09-08 오전 12:33:00,EV_Vibe13번,Opened
2024-09-08 오전 12:33:12,EV_Fiber13번,Connecting
2024-09-08 오전 12:33:12,TRY,Reconnection
2024-09-08 오전 12:33:12,EV_Vibe13번,Opened
2024-09-08 오전 12:33:24,EV_Fiber13번,Connecting
2024-09-08 오전 12:33:24,TRY,Reconnection
2024-09-08 오전 12:33:24,EV_Vibe13번,Opened
2024-09-08 오전 12:33:36,EV_Fiber13번,Connecting
2024-09-08 오전 12:33:36,TRY,Reconnection
2024-09-08 오전 12:33:36,EV_Vibe13번,Opened
